1_1_2025,Exp 1
Signal,Time
V,s
0.658497,0.00041
1.403484,0.00041
1.887148,0.00041
1.976406,0.00041
1.614705,0.00041
0.852799,0.00041
-0.145131,0.00041
-1.125338,0.00041
-1.811838,0.00041
-1.987934,0.00041
-1.57323,0.00042
-0.669713,0.00042
0.45469,0.00042
1.442957,0.00042
1.964322,0.00042
1.833497,0.00042
1.082708,0.00042
-0.039119,0.00042
-1.149021,0.00042
-1.867261,0.00042
-1.948462,0.00043
-1.370551,0.00043
-0.337821,0.00043
0.798827,0.00043
1.666422,0.00043
1.995901,0.00043
1.704445,0.00043
0.90355,0.00043
-0.14787,0.00043
-1.140321,0.00043
-1.807005,0.00044
-1.995668,0.00044
-1.691165,0.00044
-1.001765,0.00044
-0.112264,0.00044
0.773532,0.00044
1.482108,0.00044
1.900521,0.00044
1.988328,0.00044
1.768246,0.00044
1.308589,0.00045
0.70232,0.00045
0.043048,0.00045
-0.543401,0.00045
-1.090699,0.00045
-1.518291,0.00045
-1.809099,0.00045
-1.965217,0.00045
-1.999857,0.00045
-1.934767,0.00045
-1.793632,0.00046
-1.599814,0.00046
-1.374417,0.00046
-1.133232,0.00046
-0.890436,0.00046
-0.655696,0.00046
-0.434489,0.00046
-0.231971,0.00046
-0.048625,0.00046
0.114743,0.00046
0.259422,0.00047
0.385734,0.00047
0.496579,0.00047
0.594213,0.00047
0.679764,0.00047
0.756776,0.00047
0.826538,0.00047
0.891467,0.00047
0.954301,0.00047
1.015362,0.00047
1.077552,0.00048
1.142803,0.00048
1.210954,0.00048
1.284099,0.00048
1.362884,0.00048
1.446985,0.00048
1.535759,0.00048
1.627433,0.00048
1.720234,0.00048
1.809169,0.00048
1.88876,0.00049
1.952722,0.00049
1.991551,0.00049
1.993645,0.00049
1.948211,0.00049
1.841714,0.00049
1.662394,0.00049
1.400262,0.00049
1.051774,0.00049
0.619347,0.00049
0.117482,0.0005
-0.424983,0.0005
-0.967287,0.0005
-1.484618,0.0005
-1.836166,0.0005
-1.996151,0.0005
-1.912856,0.0005
-1.56308,0.0005
-0.963259,0.0005
-0.182832,0.0005
0.658336,0.00051
1.403646,0.00051
1.887148,0.00051
1.976567,0.00051
1.614705,0.00051
0.852638,0.00051
-0.14497,0.00051
-1.124693,0.00051
-1.811677,0.00051
-1.987934,0.00051
-1.573069,0.00052
-0.669551,0.00052
0.454368,0.00052
1.442957,0.00052
1.964161,0.00052
1.833497,0.00052
1.08303,0.00052
-0.038958,0.00052
-1.149182,0.00052
-1.8671,0.00052
-1.948462,0.00053
-1.37039,0.00053
-0.33766,0.00053
0.798504,0.00053
1.666422,0.00053
1.996545,0.00053
1.704767,0.00053
0.903711,0.00053
-0.14787,0.00053
-1.14016,0.00053
-1.806843,0.00054
-1.995668,0.00054
-1.691165,0.00054
-1.001765,0.00054
-0.112587,0.00054
0.773693,0.00054
1.482269,0.00054
1.900843,0.00054
1.988812,0.00054
1.768407,0.00054
1.308911,0.00055
0.702481,0.00055
0.042726,0.00055
-0.543078,0.00055
-1.090538,0.00055
-1.518613,0.00055
-1.80926,0.00055
-1.964895,0.00055
-2.000018,0.00055
-1.934928,0.00055
-1.794116,0.00056
-1.599814,0.00056
-1.374579,0.00056
-1.133071,0.00056
-0.890436,0.00056
-0.655212,0.00056
-0.434811,0.00056
-0.232132,0.00056
-0.048303,0.00056
0.114743,0.00056
0.259099,0.00057
0.385734,0.00057
0.49674,0.00057
0.594052,0.00057
0.679925,0.00057
0.756937,0.00057
0.826699,0.00057
0.891467,0.00057
0.954301,0.00057
1.015524,0.00057
1.077391,0.00058
1.142642,0.00058
1.210793,0.00058
1.284583,0.00058
1.362562,0.00058
1.446985,0.00058
1.535275,0.00058
1.62711,0.00058
1.720073,0.00058
1.809169,0.00058
1.889243,0.00059
1.952883,0.00059
1.99139,0.00059
1.993967,0.00059
1.94805,0.00059
1.841875,0.00059
1.662233,0.00059
1.400584,0.00059
1.051935,0.00059
0.619347,0.00059
0.118126,0.0006
-0.424983,0.0006
-0.967126,0.0006
-1.484457,0.0006
-1.836488,0.0006
-1.996151,0.0006
-1.913017,0.0006
-1.563241,0.0006
-0.962614,0.0006
-0.18267,0.0006
0.658659,0.00061
1.403484,0.00061
1.886665,0.00061
1.976245,0.00061
1.615027,0.00061
0.852316,0.00061
-0.144487,0.00061
-1.12421,0.00061
-1.81071,0.00061
-1.986323,0.00061
-1.572264,0.00062
-0.669713,0.00062
0.45469,0.00062
1.442474,0.00062
1.964161,0.00062
1.833659,0.00062
1.082547,0.00062
-0.038636,0.00062
-1.149344,0.00062
-1.8671,0.00062
-1.948462,0.00063
-1.371034,0.00063
-0.337499,0.00063
0.798504,0.00063
1.666422,0.00063
1.996223,0.00063
1.704606,0.00063
0.903872,0.00063
-0.14787,0.00063
-1.139838,0.00063
-1.807005,0.00064
-1.995829,0.00064
-1.690681,0.00064
-1.002087,0.00064
-0.112587,0.00064
0.773049,0.00064
1.481947,0.00064
1.901004,0.00064
1.988651,0.00064
1.768085,0.00064
1.308911,0.00065
0.70232,0.00065
0.042887,0.00065
-0.543239,0.00065
-1.090538,0.00065
-1.518291,0.00065
-1.80926,0.00065
-1.965056,0.00065
-2.000018,0.00065
-1.934767,0.00065
-1.793954,0.00066
-1.600136,0.00066
-1.374417,0.00066
-1.133071,0.00066
-0.890436,0.00066
-0.655374,0.00066
-0.43465,0.00066
-0.232454,0.00066
-0.048625,0.00066
0.114743,0.00066
0.259261,0.00067
0.386217,0.00067
0.49674,0.00067
0.594052,0.00067
0.679925,0.00067
0.756937,0.00067
0.82686,0.00067
0.891628,0.00067
0.954139,0.00067
1.015524,0.00067
1.077874,0.00068
1.142481,0.00068
1.210632,0.00068
1.284422,0.00068
1.362723,0.00068
1.446985,0.00068
1.535275,0.00068
1.627271,0.00068
1.720073,0.00068
1.809008,0.00068
1.88876,0.00069
1.952561,0.00069
1.991228,0.00069
1.994451,0.00069
1.94805,0.00069
1.841875,0.00069
1.662394,0.00069
1.400423,0.00069
1.051935,0.00069
0.619669,0.00069
0.117804,0.0007
-0.424983,0.0007
-0.967287,0.0007
-1.484618,0.0007
-1.836327,0.0007
-1.996151,0.0007
-1.913339,0.0007
-1.563241,0.0007
-0.963742,0.0007
-0.18267,0.0007
0.658497,0.00071
1.403968,0.00071
1.88731,0.00071
1.976889,0.00071
1.615027,0.00071
0.852316,0.00071
-0.144809,0.00071
-1.124854,0.00071
-1.81071,0.00071
-1.986645,0.00071
-1.572425,0.00072
-0.669551,0.00072
0.454207,0.00072
1.441829,0.00072
1.962872,0.00072
1.833336,0.00072
1.08303,0.00072
-0.038475,0.00072
-1.149344,0.00072
-1.8671,0.00072
-1.948462,0.00073
-1.371034,0.00073
-0.337983,0.00073
0.798343,0.00073
1.6661,0.00073
1.996223,0.00073
1.704767,0.00073
0.903872,0.00073
-0.147709,0.00073
-1.139838,0.00073
-1.807327,0.00074
