Time (s)	Signal (V)
0.000552	0.042726
0.000553	-0.543078
0.000554	-1.090538
0.000555	-1.518613
0.000556	-1.809260
0.000557	-1.964895
0.000558	-2.000018
0.000559	-1.934928
0.000560	-1.794116
0.000561	-1.599814
0.000562	-1.374579
0.000563	-1.133071
0.000564	-0.890436
0.000565	-0.655212
0.000566	-0.434811
0.000567	-0.232132
0.000568	-0.048303
0.000569	0.114743
0.000570	0.259099
0.000571	0.385734
0.000572	0.496740
0.000573	0.594052
0.000574	0.679925
0.000575	0.756937
0.000576	0.826699
0.000577	0.891467
0.000578	0.954301
0.000579	1.015524
0.000580	1.077391
0.000581	1.142642
0.000582	1.210793
0.000583	1.284583
0.000584	1.362562
0.000585	1.446985
0.000586	1.535275
0.000587	1.627110
0.000588	1.720073
0.000589	1.809169
0.000590	1.889243
0.000591	1.952883
0.000592	1.991390
0.000593	1.993967
0.000594	1.948050
0.000595	1.841875
0.000596	1.662233
0.000597	1.400584
0.000598	1.051935
0.000599	0.619347
0.000600	0.118126
0.000601	-0.424983
0.000602	-0.967126
0.000603	-1.484457
0.000604	-1.836488
0.000605	-1.996151
0.000606	-1.913017
0.000607	-1.563241
0.000608	-0.962614
0.000609	-0.182670
0.000610	0.658659
0.000611	1.403484
0.000612	1.886665
0.000613	1.976245
0.000614	1.615027
0.000615	0.852316
0.000616	-0.144487
0.000617	-1.124210
0.000618	-1.810710
0.000619	-1.986323
0.000620	-1.572264
0.000621	-0.669713
0.000622	0.454690
0.000623	1.442474
0.000624	1.964161
0.000625	1.833659
0.000626	1.082547
0.000627	-0.038636
0.000628	-1.149344
0.000629	-1.867100
0.000630	-1.948462
0.000631	-1.371034
0.000632	-0.337499
0.000633	0.798504
0.000634	1.666422
0.000635	1.996223
0.000636	1.704606
0.000637	0.903872
0.000638	-0.147870
0.000639	-1.139838
0.000640	-1.807005
0.000641	-1.995829
0.000642	-1.690681
0.000643	-1.002087
0.000644	-0.112587
0.000645	0.773049
0.000646	1.481947
0.000647	1.901004
0.000648	1.988651
0.000649	1.768085
0.000650	1.308911
0.000651	0.702320
0.000652	0.042887
0.000653	-0.543239
0.000654	-1.090538
0.000655	-1.518291
0.000656	-1.809260
0.000657	-1.965056
0.000658	-2.000018
0.000659	-1.934767
0.000660	-1.793954
0.000661	-1.600136
0.000662	-1.374417
0.000663	-1.133071
0.000664	-0.890436
0.000665	-0.655374
0.000666	-0.434650
0.000667	-0.232454
0.000668	-0.048625
0.000669	0.114743
0.000670	0.259261
0.000671	0.386217
0.000672	0.496740
0.000673	0.594052
0.000674	0.679925
0.000675	0.756937
0.000676	0.826860
0.000677	0.891628
0.000678	0.954139
0.000679	1.015524
0.000680	1.077874
0.000681	1.142481
0.000682	1.210632
0.000683	1.284422
0.000684	1.362723
0.000685	1.446985
0.000686	1.535275
0.000687	1.627271
0.000688	1.720073
0.000689	1.809008
0.000690	1.888760
0.000691	1.952561
0.000692	1.991228
0.000693	1.994451
0.000694	1.948050
0.000695	1.841875
0.000696	1.662394
0.000697	1.400423
0.000698	1.051935
0.000699	0.619669
0.000700	0.117804
0.000701	-0.424983
0.000702	-0.967287
0.000703	-1.484618
0.000704	-1.836327
0.000705	-1.996151
0.000706	-1.913339
0.000707	-1.563241
0.000708	-0.963742
0.000709	-0.182670
0.000710	0.658497
0.000711	1.403968
0.000712	1.887310
0.000713	1.976889
0.000714	1.615027
0.000715	0.852316
0.000716	-0.144809
0.000717	-1.124854
0.000718	-1.810710
0.000719	-1.986645
0.000720	-1.572425
0.000721	-0.669551
0.000722	0.454207
0.000723	1.441829
0.000724	1.962872
0.000725	1.833336
0.000726	1.083030
0.000727	-0.038475
0.000728	-1.149344
0.000729	-1.867100
0.000730	-1.948462
0.000731	-1.371034
0.000732	-0.337983
0.000733	0.798343
0.000734	1.666100
0.000735	1.996223
0.000736	1.704767
0.000737	0.903872
0.000738	-0.147709
0.000739	-1.139838
0.000740	-1.807327
0.000741	-1.995507
0.000742	-1.691165
0.000743	-1.001765
0.000744	-0.112748
0.000745	0.773532
0.000746	1.481947
0.000747	1.900843
0.000748	1.988812
0.000749	1.768246
0.000750	1.309394
0.000751	0.702481
0.000752	0.043209
0.000753	-0.542917
0.000754	-1.090860
0.000755	-1.518774
0.000756	-1.809421
0.000757	-1.965217
0.000758	-2.000340
0.000759	-1.934928
0.000760	-1.793954
0.000761	-1.599975
0.000762	-1.374256
0.000763	-1.133393
0.000764	-0.890436
0.000765	-0.655535
0.000766	-0.434328
0.000767	-0.231971
0.000768	-0.048625
0.000769	0.114743
0.000770	0.259099
0.000771	0.385895
0.000772	0.496901
0.000773	0.594052
0.000774	0.679764
0.000775	0.757098
0.000776	0.826860
0.000777	0.891467
0.000778	0.954301
0.000779	1.015524
0.000780	1.077713
0.000781	1.142642
0.000782	1.210954
0.000783	1.284099
0.000784	1.362723
0.000785	1.446824
0.000786	1.535436
0.000787	1.627271
0.000788	1.720234
0.000789	1.808847
0.000790	1.889565
0.000791	1.953205
0.000792	1.991712
0.000793	1.994290
0.000794	1.948533
0.000795	1.841714
0.000796	1.662555
0.000797	1.400262
0.000798	1.051613
0.000799	0.619347
0.000800	0.118287
0.000801	-0.424983
0.000802	-0.967287
0.000803	-1.484457
0.000804	-1.836166
0.000805	-1.996473
0.000806	-1.913017
0.000807	-1.563241
0.000808	-0.963581
0.000809	-0.182832
0.000810	0.658659
0.000811	1.403646
0.000812	1.887310
0.000813	1.977211
0.000814	1.615349
0.000815	0.852961
0.000816	-0.144487
0.000817	-1.124371
0.000818	-1.810710
0.000819	-1.986968
0.000820	-1.572425
0.000821	-0.669874
0.000822	0.454207
0.000823	1.441668
0.000824	1.963356
0.000825	1.832692
0.000826	1.082547
0.000827	-0.038797
0.000828	-1.148699
0.000829	-1.867100
0.000830	-1.948623
0.000831	-1.371034
0.000832	-0.338305
0.000833	0.798666
0.000834	1.666100
0.000835	1.996223
0.000836	1.704445
0.000837	0.904033
0.000838	-0.147870
0.000839	-1.140160
0.000840	-1.807166
0.000841	-1.996312
0.000842	-1.691487
0.000843	-1.002409
0.000844	-0.112909
0.000845	0.773210
0.000846	1.481625
